"Antibody","Company","Dilution","Antigen retrieval","WaGa","UISO"
"AE1/AE3","Dako (M3515)","100","Protease I, 20 min","+++$^{*}$","-"
"CD34","Dako (M7165)","40","EDTA","NP","-"
"CD56","Novocastra NCF-CD56-1B6)","50","EDTA","++ $^{**}$","++$^{**}$"
"CHG","Neomarkers (ms-324-p)","200","Citrate","+++","-"
"CK20","Dako (M7019)","250","Protease I, 16 min","+++ $^{*}$","-"
"CK7","Dako (M7018)","400","Protease I, 8 min","-","-"
"NFTP","Dako (M0762)","800","Citrate","+/-","-"
"NSE","Dako (A0587)","2000","Citrate","++","++ $^{**}$" 
"S100","Biogenex (MU058-UC)","8000","Citrate","NP","-"
"TTF-1","Novocastra (NCL-L-TTF-1)","100","Citrate","-","-"
